Family,Name,Contacts,Length,Width,Height,Volume,Pitch,Weight,Examples,JEDEC,
LGA,FC-LGA10-1366,1366,45mm,42.5mm,,,,,,,
LGA,FC-LGA10-1567,1567,56.5mm,49.2mm,,,,,,,
LGA,FC-LGA10-2011,,,,,,,,,,
LGA,FC-LGA10D-1155,,,,,,,,,,
LGA,FC-LGA12C-1155,,,,,,,,,,
LGA,FC-LGA4-775,,,,,,,,,,
LGA,FC-LGA4-775A,,,,,,,,,,
LGA,FC-LGA6-771,771,37.5mm,37.5mm,,,,,,,
LGA,FC-LGA6-775,775,37.5mm,37.5mm,,,,,,,
LGA,FC-LGA8-1156,1156,37.5mm,37.5mm,,,,24.8g,,,
LGA,FC-LGA8-1366,1366,45mm,42.5mm,,,,33.2g,,,
LGA,FC-LGA8-1567,1567,,,,,,,,,
LGA,FC-LGA8-771,771,37.5mm,37.5mm,,,,,,,
LGA,FC-LGA8-775,775,37.5mm,37.5mm,,,,,,,
PGA,CPGA-132,132,1.45in,1.45in,0.11in,,,16.07,,,
PGA,CPGA-168,168,1.75in,1.75in,0.11in,,,23.3,,,
PGA,CPGA-208,208,1.75in,1.75in,0.11in,,,,,,
PGA,CPGA-387,387,,,,,,,,,
PGA,CPGA-68,68,1.15in,1.15in,0.11in,,,8.69,,,
PGA,CPGA-88,88,1.35in,1.35in,0.11in,,,10.43,,,
PGA,FC-mPGA-478,,,,,,,,,,
PGA,FC-mPGA4-478,,,,,,,,,,
PGA,FC-mPGA4-604,604,53.3mm,53.3mm,,,,,,,
PGA,FC-mPGA8-604,,,,,,,,,,
PGA,FC-PGA-370,370,49.5mm,49.5mm,5mm,,,,Pentium III,,
PGA,FC-PGA-370,,,,,,,,,,
PGA,FC-PGA-478,,,,,,,,,,
PGA,FC-PGA2-370,,,,,,,,,,
PGA,FC-PGA2-478,,,,,,,,,,
PGA,PPGA-296,296,49.5mm,49.5mm,6mm,,,,Pentium MMX,,
PGA,PPGA-370,370,49.5mm,49.5mm,6mm,,,,,,
PGA,UFCPGA-478,478,35mm,35mm,,,,,,,
PGA,uFCPGA-988,988,37.5mm,37.5mm,,,,,,,
PGA,UFCPGA10-988,988,37.5mm,37.5mm,,,,7.7g,,,
PGA,μPGA-495,495,34.21mm,28.27mm,2.25mm,,1.27,,,,
PGA,ΜPGA-615,615,37.51mm,35.56mm,2.25mm,,,,,,4.835
QFN,QFN-48,48,,,,,,,,,
QFN,QFN-68,68,,,,,,,,,
QFP,Ceramic BQFP-128,,,,,,,,,,
QFP,Ceramic BQFP-160,,,,,,,,,,
QFP,Ceramic BQFP-208,,,,,,,,,,
QFP,Ceramic BQFP-240,,,,,,,,,,
QFP,Ceramic BQFP-272,,,,,,,,,,
QFP,Ceramic BQFP-304,,,,,,,,,,
QFP,Ceramic BQFP-44,,,,,,,,,,
QFP,Ceramic BQFP-56,,,,,,,,,,
QFP,Ceramic BQFP-64,,,,,,,,,,
QFP,Ceramic BQFP-80,,,,,,,,,,
QFP,CQFP-100,,,,,,,,,,
QFP,CQFP-128,,,,,,,,,,
QFP,CQFP-160,,,,,,,,,,
QFP,CQFP-208,,,,,,,,,,
QFP,CQFP-240,,,,,,,,,,
QFP,CQFP-272,,,,,,,,,,
QFP,CQFP-304,,,,,,,,,,
QFP,CQFP-44,,,,,,,,,,
QFP,CQFP-56,,,,,,,,,,
QFP,CQFP-64,,,,,,,,,,
QFP,CQFP-80,,,,,,,,,,
QFP,Plastic BQFP-100,,,,,,,,,,
QFP,Plastic BQFP-128,,,,,,,,,,
QFP,Plastic BQFP-160,,,,,,,,,,
QFP,Plastic BQFP-208,,,,,,,,,,
QFP,Plastic BQFP-240,,,,,,,,,,
QFP,Plastic BQFP-272,,,,,,,,,,
QFP,Plastic BQFP-304,,,,,,,,,,
QFP,Plastic BQFP-44,,,,,,,,,,
QFP,Plastic BQFP-56,,,,,,,,,,
QFP,Plastic BQFP-64,,,,,,,,,,
QFP,Plastic BQFP-80,,,,,,,,,,
QFP,PQFP-100 (0.65),,14mm,20mm,2.7mm,,0.65mm,,,,
QFP,PQFP-128 (0.8),,28mm,28mm,3.4mm,,0.8mm,,,,
QFP,PQFP-144 (0.65),,28mm,28mm,3.4mm,,0.65mm,,,,
QFP,PQFP-160 (0.65),,28mm,28mm,3.4mm,,0.65mm,,,,
QFP,PQFP-208,,,,,,,,,,
QFP,PQFP-240 (0.5),,32mm,32mm,3.4mm,,0.5mm,,,,
QFP,PQFP-272,,,,,,,,,,
QFP,PQFP-304,,,,,,,,,,
QFP,PQFP-44 (0.8),,10mm,10mm,2.25mm,,0.8mm,,,,
QFP,PQFP-52 (0.65),,10mm,10mm,1.4mm,,,,,,
QFP,PQFP-64 (0.8),,14mm,14mm,2.45mm,,0.8mm,,,,
QFP,PQFP-80 (0.8),,14mm,14mm,2.45mm,,0.8mm,,,,
QFP,TQFP-100,100,14mm,14mm,1mm,,0.5mm,,,S-PQFP-G,
QFP,TQFP-128 (0.4),128,14mm,14mm,1mm,,0.4mm,,,S-PQFP-G,
QFP,TQFP-144,144,20mm,20mm,1mm,,0.5mm,,,S-PQFP-G,
QFP,TQFP-208,,,,,,,,,,
QFP,TQFP-240,,,,,,,,,,
QFP,TQFP-272,,,,,,,,,,
QFP,TQFP-304,,,,,,,,,,
QFP,TQFP-44,44,14mm,14mm,1mm,,0.5mm,,,S-PQFP-G,
QFP,TQFP-56,,,,,,,,,,
QFP,TQFP-64,64,10mm,10mm,1mm,,0.5mm,,,S-PQFP-G,
QFP,TQFP-80,,,,,,,,,,
QFP,VQFP-100,100,14mm,14mm,0.8mm,,0.5mm,,,S-PQFP-G,
QFP,VQFP-128,,,,,,,,,,
QFP,VQFP-160,,,,,,,,,,
QFP,VQFP-208,,,,,,,,,,
