Family,Chip Type,Soviet Manufacturer,Soviet Part Number,Western Manufacturer,Western Part Number,Blank,Blank,Description,Comments,Blank,Blank,Reference 1,Reference 2,Reference 3,Reference 4
Z8,MCU,MME,UB8831D-X6 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8830D ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8831D ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8860D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8860M,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8861D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8861M,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UC8860M,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UC8861M,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8860M ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8861M,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
,,MME,U2164C-UD ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
,,MME,UA855D-SD ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
,,MME,UA8560D-U3 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
,,MME,UA857D-SD ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
,,MME,UL8611DC08-004-XD ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, BSP,, 531BC1 , TI , SN74S481N,,, 4bit , ,,,,,,
8080, CPU,, 580ВМ1, Intel , ~ i8080  5  MHz ,,," 8 bit, 5 MHz, CMOS", ,,,,,,
8080, CPU,," 580ВМ80  
 580ИК80  ", Intel , i8080A,,," 8 bit, 2 MHz", ,,,,,,
8080, CPU,," 580ВМ80A  
 580ИК80A  ", Intel , i8080A,,," 8 bit, 2.5 MHz",  ,,,,,,
, BSP ?,, 581ИК1   , WDC , CP161(LSI-11) Data Unit ?,,, ?, ,,,,,,
, ???,, 581ИК2, WDC , CP1621(LSI-11) Control Unit ?,,, , ,,,,,,
, BSP,, 582ИК1 , TI  ???, SBP0400A ???,,, 4 bit I2L, ,,,,,,
, BSP,, 582ИК2 , TI ???, SBP0400 ???,,, 4 bit I2L, ,,,,,,
, BSP?,, 583ВМ1, USSR ? , original ?,,, 8 bit  I2L, ,,,,,,
, BSP,, 583BC1 , USSR ? , original ?,,, 8 bit  I2L, ,,,,,,
, multiplier ?,, 583ВС2 , USSR ? , original ?,,, 8 bit  I2L, ,,,,,,
, BSP?,, 583ВС3 , USSR ? , original ?,,, 8 bit  I2L, ,,,,,,
, CPU ,, 583ВС4 , USSR ? , original ?,,, 8 bit , ,,,,,,
