,IBM,PowerPC 600,PPC604e2BE233eE,,,,,CPU
,IBM,PowerPC 600,PPC604e2BE250hE,,,,,CPU
,IBM,PowerPC 600,PPC604e2BX-200-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e2BX-225-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e2BX-233-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e2PE200dE,,,,,CPU
,IBM,PowerPC 600,PPC604e2PE233dE,,,,,CPU
,IBM,PowerPC 600,PPC604e2PX-200-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e2PX-225-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e2PX-233-X ,,,,,CPU
,IBM,PowerPC 600,PPC604e3BBCG4530,,,,,CPU
,IBM,PowerPC 600,PPC604e3DBCG333E,,,,,CPU
,IBM,PowerPC 600,PPC604e3DBCG339E,,,,,CPU
,IBM,PowerPC 600,PPC604ePC166aC,,,,,CPU
,IBM,PowerPC 600,PPC604ePC200bE,,,,,CPU
,IBM,PowerPC 600,PPC604ePCd166aC,,,,,CPU
,IBM,PowerPC 600,PPC604FD120C,,,,,CPU
,IBM,PowerPC 600,PPCA601FF-066-1,,,,,CPU
,IBM,PowerPC 600,PPCA601FF-090a-2,,,,,CPU
,IBM,PowerPC 600,PPCA601v5FC1002,,,,,CPU
,IBM,PowerPC 600,PPCA601v5FE1002,,,,,CPU
,IBM,PowerPC 600,PPCA601v5FE1102,,,,,CPU
,IBM,PowerPC 600,PPCA601v5FF1202,,,,,CPU
,IBM,PowerPC 600,PPCA601v5nFC1102,,,,,CPU
,IBM,PowerPC 600,PPCA601vMFC090d2,,,,,CPU
,IBM,PowerPC 600,PPCA603EFC1003,,,,,CPU
,IBM,PowerPC 600,PPCA603eFC100aEPQ,,,,,CPU
,IBM,PowerPC 600,PPCA603eFC100EPQ,,,,,CPU
,IBM,PowerPC 600,PPCA603eFC117FPQ,,,,,CPU
,IBM,PowerPC 600,PPCA603eFC120PQ,,,,,CPU
,IBM,PowerPC 600,PPCA603FE0752,,,,,CPU
,IBM,PowerPC 600,PPCA603FE0752PQ,,,,,CPU
,IBM,PowerPC 600,PPCA604BC120C,,,,,CPU
,IBM,PowerPC 600,PPCA604BC150E,,,,,CPU
,IBM,PowerPC 600,PPCA604BE133aC,,,,,CPU
,IBM,PowerPC 600,PPCA604BE133aCPQ,,,,,CPU
,IBM,PowerPC 600,PPCA604BE150EPQ,,,,,CPU
,IBM,PowerPC 600,PPCA604FC1202PQ,,,,,CPU
,IBM,PowerPC 600,PPCC604FE133CPQ,,,,,CPU
,IBM,PowerPC 600,PPCI601FFA-080-2,,,,,CPU
,IBM,PowerPC 600,XPPC604eBC166aC ,,,,,CPU
,IBM,PowerPC 600,XPPC604eBC166aC relabeled,,,,,CPU
,IBM,PowerPC 600,XPPC604eBC180bE,,,,,CPU
,IBM,PowerPC 700,EMPPC740GBUF1660,,,,,CPU
,IBM,PowerPC 700,PPC740L-GB300A2,,,,,CPU
,IBM,PowerPC 700,PPC750 DB0J250,,,,,CPU
,IBM,PowerPC 700,PPC750 EBOB233,,,,,CPU
,IBM,PowerPC 700,PPC750-DB0M233,,,,,CPU
,IBM,PowerPC 700,PPC750-DB0M266,,,,,CPU
,IBM,PowerPC 700,PPC750-EB0A400,,,,,CPU
,IBM,PowerPC 700,PPC750-EB0B220,,,,,CPU
,IBM,PowerPC 700,PPC750-EB0L233+,,,,,CPU
,IBM,PowerPC 700,PPC750-EB0M266,,,,,CPU
,IBM,PowerPC 700,PPC750-EB5M300,,,,,CPU
,IBM,PowerPC 700,PPC750-EBOM266,,,,,CPU
,IBM,PowerPC 700,PPC750FX-680533T,,,,,CPU
,IBM,PowerPC 700,PPC750FX-GB0533T,,,,,CPU
,IBM,PowerPC 700,PPC750L-DB0G366,,,,,CPU
,IBM,PowerPC 700,PPC750L-EB0A450,,,,,CPU
,IBM,PowerPC 700,PPC750L-EB0G400,,,,,CPU
,IBM,PowerPC 700,PPC750L-EBOA450,,,,,CPU
,IBM,PowerPC 700,PPC750L-EBOB333,,,,,CPU
,IBM,PowerPC 700,PPC750L-FBOB400,,,,,CPU
,IBM,PowerPC 700,PPC750L-GB350B3,,,,,CPU
