Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Mostek,3870,MK3870/32P-15,,,,,MCU
Mostek,3870,MK3870/40N-00,,,,,MCU
Mostek,3870,MK3870/40N-05,,,,,MCU
Mostek,3870,MK3870/40N-10,,,,,MCU
Mostek,3870,MK3870/40N-15,,,,,MCU
Mostek,3870,MK3870/40P-00,,,,,MCU
Mostek,3870,MK3870/40P-05,,,,,MCU
Mostek,3870,MK3870/40P-10,,,,,MCU
Mostek,3870,MK3870/40P-15,,,,,MCU
Mostek,3870,MK3870/42N-00,,,,,MCU
Mostek,3870,MK3870/42N-05,,,,,MCU
Mostek,3870,MK3870/42N-10,,,,,MCU
Mostek,3870,MK3870/42N-15,,,,,MCU
Mostek,3870,MK3870/42P-00,,,,,MCU
Mostek,3870,MK3870/42P-05,,,,,MCU
Mostek,3870,MK3870/42P-10,,,,,MCU
Mostek,3870,MK3870/42P-15,,,,,MCU
Mostek,3870,MK3870N,,,,,MCU
Mostek,3870,MK3870P,,,,,MCU
Mostek,3870,MK38P70/02,97400A,,,,MCU
Mostek,3870,MK38P70/02R-00,MK97400,,,,MCU
Mostek,3870,MK38P70/02R-00,MK97410,,,,MCU
Mostek,3870,MK38P70/02R-00,MK97500,,,,MCU
Mostek,3870,MK38P70/02R-00,MK97501,,,,MCU
Mostek,3870,MK38P70/02R-00,MK97503,,,,MCU
Mostek,3870,MK38P70/02R-05,MK97400,,,,MCU
Mostek,3870,MK38P70/02R-05,MK97410,,,,MCU
Mostek,3870,MK38P70/02R-05,MK97500,,,,MCU
Mostek,3870,MK38P70/02R-05,MK97501,,,,MCU
Mostek,3870,MK38P70/02R-05,MK97503,,,,MCU
Mostek,3870,MK38P70/02R-10,MK97400,,,,MCU
Mostek,3870,MK38P70/02R-10,MK97410,,,,MCU
Mostek,3870,MK38P70/02R-10,MK97500,,,,MCU
Mostek,3870,MK38P70/02R-10,MK97501,,,,MCU
Mostek,3870,MK38P70/02R-10,MK97503,,,,MCU
Mostek,3870,MK38P70/02R-15,MK97400,,,,MCU
Mostek,3870,MK38P70/02R-15,MK97410,,,,MCU
Mostek,3870,MK38P70/02R-15,MK97500,,,,MCU
Mostek,3870,MK38P70/02R-15,MK97501,,,,MCU
Mostek,3870,MK38P70/02R-15,MK97503,,,,MCU
Mostek,68000,MK68000P-10,,,,,CPU
Mostek,68000,MK68000P-4,,,,,CPU
Mostek,68000,MK68000P-6,,,,,CPU
Mostek,68000,MK68000P-8B,,,,,CPU
