Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Hitachi,6805,HD6805S1P,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,1100B,,64B,,,NA,,,,,PDIP-28,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.4W,0.7W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD6805S1P.html,,,,,,,
Hitachi,6805,HD6805U1P,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2056B,,96B,,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.4W,0.7W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD6805U1P.html,,,,,,,
Hitachi,6805,HD6805V,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD6805V.html,,,,,,,
Hitachi,6805,HD6805V1P,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,3848B,,96B,,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.0158W (Standby),0.85W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD6805V1P.html,,,,,,,
Hitachi,6805,HD6805W0P,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,3848B,,96B,,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.4W,0.7W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD6805W0P.html,,,,,,,
Hitachi,6805,HD68P05V05,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,External piggyback EPROM,,96B,,,NA,,,,,Piggyback CDIP-40,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.4W,0.7W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD68P05V05.html,,,,,,,
Hitachi,6805,HD68P05V07,,,,,,,,,,MCU,,,,,,,NA,1,,,,,,8,,,,,,1MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,External piggyback EPROM,,96B,,,NA,,,,,Piggyback CDIP-40,,,DIP-40,,,,,,,,,,,4.75-5.75V,5V,,,,5V,5V,,0.4W,0.7W,,0 - 70C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/680x/Hitachi-HD68P05V07.html,,,,,,,
Hitachi,68000,HD68000-10,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,10MHz,10MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000-10.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000-12,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000-12.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000-4,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,,,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi,68000,HD68000-6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,6MHz,6MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000-6.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000-8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000-8.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000CP8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.9W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000CP8.html,,,,,,,
Hitachi,68000,HD68000P6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,6MHz,6MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in PDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000P6.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000P8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in PDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.9W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000P8.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000P8K,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi,68000,HD68000PS6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,6MHz,6MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,SDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000PS6.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000PS8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,SDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000PS8.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000Y10,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,10MHz,10MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,CPGA-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000Y10.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000Y12,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,CPGA-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000Y12.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000Y6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,6MHz,6MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,CPGA-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000Y6.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68000Y8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,CPGA-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68000Y8.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68HC000-10,,,,,,,,,,CPU,68HC000,,,,,,NA,1,,,,,,32,16,24,,,,10MHz,10MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.16W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68HC000-10.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68HC000-12,,,,,,,,,,CPU,68HC000,,,,,,NA,1,,,,,,32,16,24,,,,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68HC000-12.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68HC000-8,,,,,,,,,,CPU,68HC000,,,,,,NA,1,,,,,,32,16,24,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,0.9in CDIP-64,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.13W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68HC000-8.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68HC000CP10,,,,,,,,,,CPU,68HC000,,,,,,NA,1,,,,,,32,16,24,,,,10MHz,10MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.16W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68HC000CP10.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
Hitachi,68000,HD68HC000CP12,,,,,,,,,,CPU,68HC000,,,,,,NA,1,,,,,,32,16,24,,,,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.18W,,0 - 70C,,,,,,,,68000,,,,68000,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/Hitachi-HD68HC000CP12.html,"Datasheet: Hitachi, “HD68000P-8 - MPU(MICRO PROCESSING UNIT)”, pg 907-991, http://www.alldatasheet.com/datasheet-pdf/pdf/121313/HITACHI/HD68000P-8.html Accessed 09 Dec 2012",,,,,,
