Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Harris,1802,CDP1802ACQ,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,3.2MHz,3.2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,4-6.5V,,,,,,,,10mW,20mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802ACQ.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802BCDX,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,15mW,30mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802BCDX.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802BCE,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,15mW,30mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802BCE.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802BCEX,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,15mW,30mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802BCEX.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802BCQ,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,4-6.5V,,,,,,,,15mW,30mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802BCQ.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802CE,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802CE.html,,,,,,,
Harris,6100,HM-6100-2,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,"4MHz (25C), 2.5MHz (full temperature range)",,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,6 KiB (4096 words),,,,,,,,,,,,,,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,,,,,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-HM-6100-2.html,,,,,,,
Harris,6100,HM-6100-9,M3-6100-9,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,"4MHz (25C), 3.33 MHz (full temperature range)",,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,6 KiB (4096 words),,,,,,,,,,,,,,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,,,,,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-HM-6100-9%20-%20M3-6100-9.html,,,,,,,
Harris,6100,HM-6100A-2,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,"8MHz (25C), 5MHz (full temperature range)",,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,6 KiB (4096 words),,,,,,,,,,,,,,,CMOS,,,,,,9.5-10.5V,10V,,,,10V,,,,,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-HM-6100A-2.html,,,,,,,
Harris,6100,HM-6100A-9,M3-6100A-9,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,"8MHz (25C), 5.71MHz (full temperature range)",,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,6 KiB (4096 words),,,,,,,,,,,,,,,CMOS,,,,,,9.5-10.5V,10V,,,,10V,,,,,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-HM-6100A-9%20-%20M3-6100A-9.html,,,,,,,
