Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Western Electric,WE32000,WE32100-10,,,,,,,,,,CPU,,,WE32100,,,,,1,8-byte prefetch queue,,,,,32,32,32,,,,10MHz,,,,,,,,,,none,NA,256B,,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,CPGA-125,,,,180k,1um,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.55W,,0 to 70C,Commercial,,,,,,,,,,,,,,,,Ext WE 32106,,,,,,,,,AT&T 3B2 lines of computers and in 3B5 minicomputers. AT&T also offered WE 321SB single-board computer with this CPU,,,,,,,,,http://www.cpu-world.com/CPUs/32100/Western%20Electric-WE32100-10.html,,,,,,,
Western Electric,WE32000,WE32100-14,,,,,,,,,,CPU,,,WE32100,,,,,1,8-byte prefetch queue,,,,,32,32,32,,,,14MHz,,,,,,,,,,none,NA,256B,,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,CPGA-125,,,,180k,1um,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.77W,,0 to 70C,Commercial,,,,,,,,,,,,,,,,Ext WE 32106,,,,,,,,,AT&T 3B2 lines of computers and in 3B5 minicomputers. AT&T also offered WE 321SB single-board computer with this CPU,,,,,,,,,http://www.cpu-world.com/CPUs/32100/Western%20Electric-WE32100-14.html,,,,,,,
Western Electric,WE32000,WE32100-18,,,,,,,,,,CPU,,,WE32100,,,,,1,8-byte prefetch queue,,,,,32,32,32,,,,18MHz,,,,,,,,,,none,NA,256B,,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,CPGA-125,,,,180k,1um,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.99W,,0 to 70C,Commercial,,,,,,,,,,,,,,,,Ext WE 32106,,,,,,,,,AT&T 3B2 lines of computers and in 3B5 minicomputers. AT&T also offered WE 321SB single-board computer with this CPU,,,,,,,,,http://www.cpu-world.com/CPUs/32100/Western%20Electric-WE32100-18.html,,,,,,,
Western Electric,WE32000,WE32200-22,,,,,,,,,,CPU,,,WE32200,,,,,1,8-byte prefetch queue,,,,,32,32,32,,,,22MHz,,,,,,,,,,none,NA,256B,,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,CPGA-133,,,,,1um,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 to 70C,Commercial,,,,,,,,,,,,,,,,Ext WE32206,,,,,,,,,"used in 3B2 line of AT&T comuters, specifically in 3B2/522, 3B2/600G, 3B2/622, 3B2/700 and 3B2/1000.",,Object-code compatible with WE32100 CPU,,,,,,,http://www.cpu-world.com/CPUs/32200/Western%20Electric-WE32200-22.html,,,,,,,
Western Electric,WE32000,WE32200-24,,,,,,,,,,CPU,,,WE32200,,,,,1,8-byte prefetch queue,,,,,32,32,32,,,,24MHz,,,,,,,,,,none,NA,256B,,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,CPGA-133,,,,,1um,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0 to 70C,Commercial,,,,,,,,,,,,,,,,Ext WE32206,,,,,,,,,"used in 3B2 line of AT&T comuters, specifically in 3B2/522, 3B2/600G, 3B2/622, 3B2/700 and 3B2/1000.",,Object-code compatible with WE32100 CPU,,,,,,,http://www.cpu-world.com/CPUs/32200/Western%20Electric-WE32200-24.html,,,,,,,
