Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,RoHS,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
WDC,65C816,W65C816SL9,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,9MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP-14,W65C816SP14,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,14MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP10,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP4,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,4MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP5,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,5MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,6MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP7,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,7MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SP9,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,9MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SPL10,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816SPL14,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816SPL4,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816SPL5,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816SPL6,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816SPL7,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,65C816,,,,6500,,,,,none,,,,,,,,,,,,,,,,,,
