Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
LSI,SPARC,L1A3761,,,,,CPU
LSI,SPARC,L64811GC-40S,,,,,CPU
LSI,SPARC,S1A0007,,,,,CPU
LSI,SPARC,S1C0010,,,,,CPU
LSI,R3000,LR3000GC-20,,,,,CPU
LSI,LR33000,LR33000MC-25,,,,,CPU
LSI,LR33000,LR33000MC-33,,,,,CPU
LSI,LR33000,LR33000MC-40,,,,,CPU
LSI,LR33000,LR33000HC-25,,,,,CPU
LSI,LR33000,LR33000HC-33,,,,,CPU
LSI,LR33000,LR33000HC-40,,,,,CPU
